alliance_defense_1999,arms_inverse_1999,conflicts_dead_gradient_1999,conflicts_dead_origin_1999,contiguity_any,flood_displaced_origin_1999,flood_max_severity_origin_1999,gain_gradient_1999,gdppc_gradient_1999,immigrant_population_2000,min_spei_destination_1999,min_spei_origin_1999,polyarchy_additive_gradient_1999,pts_gradient_1999,riv_strategic_1999,state_destination_name,state_origin_name,trade_1999,ref_flow_1999,alliance_defense_2000,arms_inverse_2000,conflicts_dead_gradient_2000,conflicts_dead_origin_2000,contiguity_any,flood_displaced_origin_2000,flood_max_severity_origin_2000,gain_gradient_2000,gdppc_gradient_2000,immigrant_population_2000,min_spei_destination_2000,min_spei_origin_2000,polyarchy_additive_gradient_2000,pts_gradient_2000,riv_strategic_2000,state_destination_name,state_origin_name,trade_2000,ref_flow_2000,alliance_defense_2001,arms_inverse_2001,conflicts_dead_gradient_2001,conflicts_dead_origin_2001,contiguity_any,flood_displaced_origin_2001,flood_max_severity_origin_2001,gain_gradient_2001,gdppc_gradient_2001,immigrant_population_2000,min_spei_destination_2001,min_spei_origin_2001,polyarchy_additive_gradient_2001,pts_gradient_2001,riv_strategic_2001,state_destination_name,state_origin_name,trade_2001,ref_flow_2001
0,0.0,0.0,0.0,0,3000.0,2.0,-15.8118709651245,-29002.30844,7332,-2.37999296188354,-2.72010588645935,-0.037018781,1,0,Argentina,France,1904.6865,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-16.0053637776199,-30341.81884,7332,-3.42603015899658,-2.49185466766357,-0.029642044,0,0,Argentina,France,1502.3973,0.0,0,0.0,0.0,0.0,0,3049.0,2.0,-17.4489207296249,-31257.13895,7332,-2.51120805740356,-2.07948637008667,-0.025053209,1,0,Argentina,France,1113.3348,0.0
0,0.0,0.0,0.0,0,3000.0,2.0,-17.4792013847153,-35390.64709,24973,-2.03218173980713,-2.72010588645935,-0.48036981,0,0,Morocco,France,6441.2109,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-18.0503254796363,-36558.43592,24973,-2.18251347541809,-2.49185466766357,-0.427475516,0,0,Morocco,France,5119.228,0.0,0,0.0,0.0,0.0,0,3049.0,2.0,-18.3048396620156,-36905.55293,24973,-2.39205431938171,-2.07948637008667,-0.422523868,0,0,Morocco,France,5041.2578,0.0
0,0.0,4.0,0.0,0,3000.0,2.0,-19.8021586960179,-35413.61234,5426,-2.36091637611389,-2.72010588645935,-0.534701784,1,0,Egypt,France,1028.3715,0.0,0,0.0,5.0,0.0,0,0.0,1.0,-20.1419041811856,-36528.72468,5426,-1.915980219841,-2.49185466766357,-0.543441838,1,0,Egypt,France,921.58606,0.0,0,0.0,0.0,0.0,0,3049.0,2.0,-20.4667425533983,-36963.84863,5426,-2.91134190559387,-2.07948637008667,-0.540081855,2,0,Egypt,France,814.80072,0.0
0,0.0,0.0,0.0,0,3000.0,2.0,-5.5924495802563,-23346.8266,1154,-1.85921192169189,-2.72010588645935,-0.037152115,0,0,South Korea,France,3523.4043,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-5.0125741174122,-23419.98544,1154,-2.47907733917236,-2.49185466766357,-0.024258694,0,0,South Korea,France,4118.3286,0.0,0,0.0,0.0,0.0,0,3049.0,2.0,-4.4159635967956,-23321.01316,1154,-2.68969416618347,-2.07948637008667,-0.024258694,0,0,South Korea,France,3846.7896,0.0
0,0.0,0.0,0.0,0,3000.0,2.0,-21.0506673890784,0.0,135,-2.32648992538452,-2.72010588645935,-0.652557969,1,0,Syria,France,625.7218,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-21.1480984953119,0.0,135,-2.76310873031616,-2.49185466766357,-0.641608123,1,0,Syria,France,823.65118,0.0,0,0.0,0.0,0.0,0,3049.0,2.0,-20.8847195719356,0.0,135,-2.07765936851501,-2.07948637008667,-0.63480897,1,0,Syria,France,978.19891,0.0
1,0.0,0.0,0.0,1,3000.0,2.0,-4.4171683621393,-10308.34303,126435,-1.78746938705444,-2.72010588645935,-0.007607158,-1,0,Spain,France,45911.492,0.0,1,0.0,20.0,0.0,1,0.0,1.0,-4.0337509612077,-10187.7836,126435,-2.01487326622009,-2.49185466766357,-0.006765267,0,0,Spain,France,47664.23,0.0,1,16.4,13.0,0.0,1,3049.0,2.0,-4.1385770014808,-9725.970664,126435,-2.06526494026184,-2.07948637008667,-0.006765267,0,0,Spain,France,45299.168,0.0
1,0.0,11.0,0.0,0,0.0,0.0,4.1265076041849,14820.67052,10480,-5.44924211502075,-1.78746938705444,-0.011813514,0,0,Canada,Spain,1180.9553,0.0,1,0.0,3.0,20.0,0,500.0,1.0,4.3336358699847,15299.98515,10480,-6.3552885055542,-2.01487326622009,-0.008426346,-1,0,Canada,Spain,1258.7589,0.0,1,0.0,-12.0,13.0,0,0.0,2.0,4.9778283805399,14696.71003,10480,-4.15310287475586,-2.06526494026184,-0.013429675,-1,0,Canada,Spain,1185.6289,0.0
1,10.0,0.0,0.0,0,0.0,0.0,5.6224060552606,9923.626908,133635,-1.97111189365387,-1.78746938705444,0.00578067,0,0,Germany,Spain,36986.699,0.0,1,0.0,-20.0,20.0,0,500.0,1.0,6.38337440318369,9663.966181,133635,-2.1359760761261,-2.01487326622009,0.006419509,-1,0,Germany,Spain,36191.766,0.0,1,1.8,-13.0,13.0,0,0.0,2.0,6.37793316616091,9313.366231,133635,-1.90905952453613,-2.06526494026184,0.006419509,0,0,Germany,Spain,36760.176,0.0
0,0.0,0.0,0.0,1,0.0,0.0,-13.062033022576,-25082.30406,13040,-2.03218173980713,-1.78746938705444,-0.472762652,1,0,Morocco,Spain,1942.6567,0.0,0,0.0,-20.0,20.0,1,500.0,1.0,-14.0165745184286,-26370.65232,13040,-2.18251347541809,-2.01487326622009,-0.420710249,0,0,Morocco,Spain,2006.1195,0.0,0,0.0,-13.0,13.0,1,0.0,2.0,-14.1662626605348,-27179.58227,13040,-2.39205431938171,-2.06526494026184,-0.415758601,0,0,Morocco,Spain,2121.1377,0.0
0,0.0,0.0,0.0,0,0.0,0.0,-20.5511780963493,-25426.66326,1482,-2.28980159759521,-1.78746938705444,-0.057143475,2,0,Bolivia,Spain,60.215618,0.0,0,0.0,30.0,20.0,0,500.0,1.0,-21.4093933894504,-26720.19315,1482,-2.20676636695862,-2.01487326622009,-0.05422861,1,0,Bolivia,Spain,59.786648,0.0,0,0.0,-13.0,13.0,0,0.0,2.0,-20.9734623118077,-27653.25682,1482,-2.22094106674194,-2.06526494026184,-0.058580922,0,0,Bolivia,Spain,40.095062,0.0
